"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1","FBgn0000003",0.224297965120865,0,0.448595930241729,Inf,Inf,1,1
"2","FBgn0000008",76.2956430661962,78.1557550929929,74.4355310393995,0.952399870627992,-0.0703606702517816,0.835472499306138,1
"3","FBgn0000014",0,0,0,NA,NA,NA,NA
"4","FBgn0000015",0.781087271816634,1.56217454363327,0,0,-Inf,0.41605558142831,1
"5","FBgn0000017",3298.68215059552,3599.47407756223,2997.89022362881,0.832868957805957,-0.263838572640388,0.241420846567181,0.881174597387862
"6","FBgn0000018",289.031228636452,293.677740749122,284.384716523783,0.968356388871577,-0.0463899876441381,0.757281888196115,1
"7","FBgn0000022",0,0,0,NA,NA,NA,NA
"8","FBgn0000024",4.43419867823513,3.20227325688265,5.66612409958761,1.76940680730771,0.823265778617862,0.542236576003562,1
"9","FBgn0000028",0.468808282862219,0,0.937616565724439,Inf,Inf,0.733677923798466,1
"10","FBgn0000032",682.306128128112,684.66677476727,679.945481488955,0.993104246543992,-0.00998292891799435,0.965121312717044,1
"11","FBgn0000036",0.224297965120865,0,0.448595930241729,Inf,Inf,1,1
"12","FBgn0000037",11.0501194914129,7.62781927195843,14.4724197108673,1.89732074068288,0.923963585907129,0.182628270943624,0.773699884224124
"13","FBgn0000038",0,0,0,NA,NA,NA,NA
"14","FBgn0000039",0.468808282862219,0,0.937616565724439,Inf,Inf,0.733677923798466,1
"15","FBgn0000042",63558.2556434369,52595.4980046519,74521.0132822219,1.41687057085439,0.502707976100053,1.87790719581947e-06,8.63912426364787e-05
"16","FBgn0000043",24511.2528666926,18250.409717661,30772.0960157242,1.68610439391648,0.753693862450275,1.32427388222079e-12,2.08636629033169e-10
"17","FBgn0000044",17.945989356226,15.0218660350685,20.8701126773835,1.38931559026437,0.474374352230398,0.444087600274208,1
"18","FBgn0000045",3.84704152051582,3.04642491765042,4.64765812338121,1.52561059242049,0.609386765530131,0.746056910799324,1
"19","FBgn0000046",17.6813271821352,14.3712675711639,20.9913867931065,1.46064963923057,0.546610165573567,0.537666781775386,1
"20","FBgn0000047",5.23263355807742,4.26969767584354,6.1955694403113,1.45105576803802,0.537102967182601,0.696746556934098,1
"21","FBgn0000052",1825.39887305223,1891.81729628764,1758.98044981682,0.929783469719043,-0.105033317951064,0.352423651895501,1
"22","FBgn0000053",1698.25925937296,1512.82721734257,1883.69130140335,1.24514635895581,0.316315331794967,0.00776547707965424,0.106322323682266
"23","FBgn0000054",484.280873166059,496.278121798506,472.283624533612,0.951651108096528,-0.0714953416011312,0.643461077616329,1
"24","FBgn0000055",0,0,0,NA,NA,NA,NA
"25","FBgn0000056",0,0,0,NA,NA,NA,NA
"26","FBgn0000057",528.080896245557,521.510378156798,534.651414334317,1.02519803387991,0.0359026169508431,0.822891112225567,1
"27","FBgn0000061",1.49727061701505,2.05692466830565,0.937616565724439,0.455834178165008,-1.13341899384591,0.716771691041884,1
"28","FBgn0000063",291.379945577034,259.076128280341,323.683762873727,1.2493770268308,0.321208907417221,0.0545265278934098,0.403805278365812
"29","FBgn0000064",6278.1580209216,5615.87298239685,6940.44305944636,1.23586182971043,0.30551745785864,0.00434650327987353,0.0680404071919014
"30","FBgn0000071",302.369728588971,87.8949092472084,516.844547930734,5.8802557776934,2.55587891036507,1.7139928789391e-45,2.46407901258483e-42
"31","FBgn0000075",1.5362327018231,2.13484883792177,0.937616565724439,0.439195763685633,-1.18706395616175,0.715592175305695,1
"32","FBgn0000077",167.136106168134,165.169984518759,169.102227817509,1.02380725111894,0.0339441293714977,0.925740103938043,1
"33","FBgn0000078",24.505344758824,32.6226119700907,16.3880775475572,0.502353323595983,-0.99322567314381,0.0305948681379455,0.279707137086257
"34","FBgn0000079",148.420782771633,205.440238565162,91.4013269781032,0.444904696453184,-1.16843176707729,3.43594242682418e-08,2.48533168873616e-06
"35","FBgn0000083",4346.74263458265,4309.58897250371,4383.89629666158,1.0172423227904,0.0246633923172452,0.851180884170769,1
"36","FBgn0000084",1406.31147791801,1484.28755845081,1328.33539738521,0.894931302106734,-0.16015115431365,0.176809323134584,0.762461201863835
"37","FBgn0000092",10.3281080128392,8.95622130674334,11.699994718935,1.30635390955847,0.385545796116011,0.655789535812247,1
"38","FBgn0000094",15.7173110796352,15.9841611774376,15.4504609818327,0.966610684809774,-0.0489931526389234,1,1
"39","FBgn0000097",2259.27787780066,2290.888297038,2227.66745856332,0.972403351766901,-0.0403732287017657,0.852652848408809,1
"40","FBgn0000099",1.3508968215103,2.21277300753789,0.489020635482709,0.220999006141545,-2.1778882132249,0.496273718313331,1
"41","FBgn0000100",20221.5472869673,21304.1414614909,19138.9531124438,0.898367725685596,-0.154621995766067,0.125860966813823,0.645929040306012
"42","FBgn0000108",42.2998894366747,43.4254993919561,41.1742794813933,0.948159032317777,-0.0767990358758167,0.896211699307409,1
"43","FBgn0000109",83.6241070591546,94.9265402692135,72.3216738490957,0.761869901125544,-0.392383434472652,0.166885860980115,0.742496822875164
"44","FBgn0000114",2.77893614687936,2.78544730182639,2.77242499193234,0.995324876587859,-0.0067605930081672,1,1
"45","FBgn0000115",431.978485006072,406.384389248254,457.57258076389,1.12596003407101,0.171155619895188,0.253427660618859,0.896226687803604
